id,log_file,model_sha,log_date,is_current,section,op,M,K,N,rows,cols,tiles,lx,rows_per_core,cores,macs,kernel_us,kernel_us_min,kernel_us_median,kernel_us_std,kernel_us_cv,reps,pred_us,err_pct,bw_gbps,memset_us,other_dev_us,total_dev_us,io_hbm_bytes,layout_a,layout_b,h_tiles,q_tiles,k_tiles,loop_trips,wd,failed,split_forced,split_actual,compute_us,base_us,turn_us,eff_underfill,pt_eff,loop_us,T_model_us
cost_model_sweep_20260807_020123.log:51,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,1024,0,0,,32,,107.862,107.355,107.862,1.521,1.4,7,107.961,0.1,116.7,67.192,386.062,561.116,12582912,,,,,,,,False,,,,83.89,24.08,,,,107.96
cost_model_sweep_20260807_020123.log:149,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,1024,0,1,,32,,109.66,107.625,109.66,1.162,1.06,7,107.961,-1.5,114.7,69.402,391.916,570.978,12582912,,,,,,,,False,,,,83.89,24.08,,,,107.96
cost_model_sweep_20260807_020123.log:246,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,8192,1024,0,0,,32,,458.219,453.462,458.219,1.868,0.41,7,431.846,-5.8,109.8,81.138,2214.92,2754.277,50331648,,,,,,,,False,,,,335.54,96.3,,,,431.85
cost_model_sweep_20260807_020123.log:344,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,128,16384,0,1,,32,,108.178,106.837,108.178,1.113,1.03,7,107.961,-0.2,116.3,64.141,399.244,571.563,12582912,,,,,,,,False,,,,83.89,24.08,,,,107.96
cost_model_sweep_20260807_020123.log:441,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,16384,0,0,,32,,1758.992,1750.664,1758.992,7.319,0.42,7,1727.382,-1.8,114.5,574.978,29762.376,32096.346,201326592,,,,,,,,False,,,,1342.18,385.2,,,,1727.38
cost_model_sweep_20260807_020123.log:539,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,16384,0,1,,32,,1753.142,1748.912,1753.142,2.713,0.15,6,1727.382,-1.5,114.8,618.787,29514.394,31886.323,201326592,,,,,,,,False,,,,1342.18,385.2,,,,1727.38
cost_model_sweep_20260807_020123.log:637,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,256,16384,0,1,,32,,284.282,277.131,284.282,3.744,1.32,7,215.923,-24.0,88.5,91.199,853.085,1228.566,25165824,,,,,,,,False,,,,167.77,48.15,,,,215.92
cost_model_sweep_20260807_020123.log:735,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,512,16384,0,0,,32,,461.307,440.815,461.307,7.497,1.64,7,431.846,-6.4,109.1,137.838,2155.855,2755.0,50331648,,,,,,,,False,,,,335.54,96.3,,,,431.85
cost_model_sweep_20260807_020123.log:832,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,64,16384,0,1,,32,,52.996,52.116,52.996,0.754,1.42,7,53.981,1.9,118.7,70.55,431.58,555.126,6291456,,,,,,,,False,,,,41.94,12.04,,,,53.98
cost_model_sweep_20260807_020123.log:930,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,2048,0,1,,32,,219.062,216.737,219.062,1.122,0.51,7,215.923,-1.4,114.9,53.466,861.467,1133.995,25165824,,,,,,,,False,,,,167.77,48.15,,,,215.92
cost_model_sweep_20260807_020123.log:1028,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,2048,0,0,,32,,219.077,218.0,219.077,1.405,0.64,7,215.923,-1.4,114.9,106.328,853.4,1178.805,25165824,,,,,,,,False,,,,167.77,48.15,,,,215.92
cost_model_sweep_20260807_020123.log:1125,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,8192,2048,0,0,,32,,913.765,909.158,913.765,2.555,0.28,7,863.691,-5.5,110.2,158.543,8589.481,9661.789,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:1223,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,4096,0,0,,32,,439.586,436.733,439.586,1.317,0.3,7,431.846,-1.8,114.5,141.563,2278.658,2859.807,50331648,,,,,,,,False,,,,335.54,96.3,,,,431.85
cost_model_sweep_20260807_020123.log:1321,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,4096,0,1,,32,,440.839,437.67,440.839,1.431,0.33,7,431.846,-2.0,114.2,120.45,2235.399,2796.688,50331648,,,,,,,,False,,,,335.54,96.3,,,,431.85
cost_model_sweep_20260807_020123.log:1418,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,4096,4096,1,1,,1,,1498.853,1488.623,1498.853,6.186,0.41,7,863.691,-42.4,67.2,125.924,8594.289,10219.066,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:1515,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,4096,4096,1,1,,16,,932.428,930.992,932.428,1.371,0.15,7,863.691,-7.4,108.0,125.806,8546.708,9604.942,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:1612,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,4096,4096,1,1,,2,,1018.37,1015.151,1018.37,3.057,0.3,7,863.691,-15.2,98.8,127.699,8583.825,9729.894,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:1709,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,4096,4096,1,1,,32,,875.927,870.142,875.927,3.252,0.37,7,863.691,-1.4,114.9,125.557,8588.057,9589.541,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:1806,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,4096,4096,1,1,,4,,1045.824,1041.481,1045.824,2.106,0.2,7,863.691,-17.4,96.3,193.891,8509.694,9749.409,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:1903,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,4096,4096,1,1,,8,,968.048,962.049,968.048,9.688,1.0,7,863.691,-10.8,104.0,121.835,8546.308,9636.191,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:2001,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,512,4096,0,0,,32,,109.11,107.509,109.11,1.153,1.06,7,107.961,-1.1,115.3,88.397,389.882,587.389,12582912,,,,,,,,False,,,,83.89,24.08,,,,107.96
cost_model_sweep_20260807_020123.log:2098,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,8192,4096,0,0,,32,,1837.389,1826.221,1837.389,8.321,0.45,7,1727.382,-6.0,109.6,637.536,29486.664,31961.589,201326592,,,,,,,,False,,,,1342.18,385.2,,,,1727.38
cost_model_sweep_20260807_020123.log:2195,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,8192,1,1,,1,,1465.38,1457.459,1465.38,4.718,0.32,7,863.691,-41.1,68.7,180.162,8456.25,10101.792,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:2293,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,8192,1,1,,16,,1016.817,1015.652,1016.817,1.34,0.13,7,863.691,-15.1,99.0,127.128,8616.078,9760.023,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:2390,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,8192,1,1,,2,,1044.975,1041.57,1044.975,3.961,0.38,7,863.691,-17.3,96.3,177.65,5109.742,6332.367,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:2487,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,8192,1,1,,32,,876.721,874.874,876.721,1.305,0.15,7,863.691,-1.5,114.8,132.315,8546.285,9555.321,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:2584,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,8192,1,1,,4,,1077.859,1074.099,1077.859,3.625,0.34,7,863.691,-19.9,93.4,186.126,8455.718,9719.703,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:2681,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add,,,,2048,8192,1,1,,8,,1055.094,1048.223,1055.094,4.808,0.46,7,863.691,-18.1,95.4,127.385,8609.667,9792.146,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:2783,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,2048,1024,0,0,,32,,232.231,231.037,232.231,0.791,0.34,7,215.923,-7.0,108.4,93.171,372.409,697.811,25165824,,,,,,,,False,,,,167.77,48.15,,,,215.92
cost_model_sweep_20260807_020123.log:2890,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,2048,1024,0,1,,32,,141.139,137.072,141.139,2.387,1.7,7,135.923,-3.7,118.9,88.503,396.098,625.74,16777216,,,,,,,,False,,,,111.85,24.08,,,,135.92
cost_model_sweep_20260807_020123.log:2997,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,8192,1024,0,0,,32,,963.696,957.025,963.696,4.513,0.47,7,863.691,-10.4,104.5,140.377,2229.232,3333.305,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:3103,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,2048,16384,0,0,,32,,3750.849,3726.998,3750.849,9.396,0.25,7,3454.764,-7.9,107.3,626.486,29770.767,34148.102,402653184,,,,,,,,False,,,,2684.35,770.41,,,,3454.76
cost_model_sweep_20260807_020123.log:3209,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,2048,16384,0,1,,32,,3739.344,3725.724,3739.344,8.108,0.22,7,3454.764,-7.6,107.7,616.331,29709.481,34065.156,402653184,,,,,,,,False,,,,2684.35,770.41,,,,3454.76
cost_model_sweep_20260807_020123.log:3315,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,512,16384,0,0,,32,,1103.616,1081.404,1103.616,15.233,1.38,7,863.691,-21.7,91.2,82.294,2233.737,3419.647,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:3422,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,2048,4096,0,1,,32,,591.95,582.421,591.95,4.695,0.79,7,543.694,-8.2,113.4,128.844,2190.428,2911.222,67108864,,,,,,,,False,,,,447.39,96.3,,,,543.69
cost_model_sweep_20260807_020123.log:3529,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,2048,4096,0,0,,32,,936.094,934.997,936.094,2.381,0.25,7,863.691,-7.7,107.5,132.305,2203.156,3271.555,100663296,,,,,,,,False,,,,671.09,192.6,,,,863.69
cost_model_sweep_20260807_020123.log:3635,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,2048,4096,0,1,,32,,595.139,579.038,595.139,6.569,1.11,7,543.694,-8.6,112.8,83.672,2239.359,2918.17,67108864,,,,,,,,False,,,,447.39,96.3,,,,543.69
cost_model_sweep_20260807_020123.log:3742,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,2048,4096,0,1,,32,,589.367,577.512,589.367,7.142,1.21,7,543.694,-7.7,113.9,136.561,2177.407,2903.335,67108864,,,,,,,,False,,,,447.39,96.3,,,,543.69
cost_model_sweep_20260807_020123.log:3849,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,512,4096,0,0,,32,,260.212,253.514,260.212,4.819,1.85,7,215.923,-17.0,96.7,88.408,392.463,741.083,25165824,,,,,,,,False,,,,167.77,48.15,,,,215.92
cost_model_sweep_20260807_020123.log:3956,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3,,,,8192,4096,0,0,,32,,3864.934,3840.64,3864.934,12.221,0.32,7,3454.764,-10.6,104.2,619.251,29454.544,33938.729,402653184,,,,,,,,False,,,,2684.35,770.41,,,,3454.76
cost_model_sweep_20260807_020123.log:4059,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3_sep,,,,2048,1024,0,0,,32,,232.911,229.43,232.911,1.59,0.68,7,107.961,-53.6,54.0,98.475,403.851,735.237,12582912,,,,,,,,False,,,,83.89,24.08,,,,107.96
cost_model_sweep_20260807_020123.log:4157,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3_sep,,,,2048,1024,0,1,,32,,230.874,229.472,230.874,1.32,0.57,7,107.961,-53.2,54.5,102.716,407.169,740.759,12582912,,,,,,,,False,,,,83.89,24.08,,,,107.96
cost_model_sweep_20260807_020123.log:4255,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3_sep,,,,8192,1024,0,0,,32,,961.172,956.766,961.172,2.098,0.22,7,431.846,-55.1,52.4,147.864,2256.489,3365.525,50331648,,,,,,,,False,,,,335.54,96.3,,,,431.85
cost_model_sweep_20260807_020123.log:4353,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3_sep,,,,2048,16384,0,0,,32,,3746.481,3734.569,3746.481,8.225,0.22,7,1727.382,-53.9,53.7,628.485,29591.26,33966.226,201326592,,,,,,,,False,,,,1342.18,385.2,,,,1727.38
cost_model_sweep_20260807_020123.log:4451,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3_sep,,,,2048,16384,0,1,,32,,3737.974,3727.802,3737.974,13.438,0.36,7,1727.382,-53.8,53.9,641.599,29512.31,33891.883,201326592,,,,,,,,False,,,,1342.18,385.2,,,,1727.38
cost_model_sweep_20260807_020123.log:4549,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3_sep,,,,512,16384,0,0,,32,,1105.227,1075.908,1105.227,17.703,1.61,7,431.846,-60.9,45.5,147.225,2209.139,3461.591,50331648,,,,,,,,False,,,,335.54,96.3,,,,431.85
cost_model_sweep_20260807_020123.log:4647,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3_sep,,,,2048,4096,0,0,,32,,934.563,931.91,934.563,2.169,0.23,7,431.846,-53.8,53.9,157.907,2265.596,3358.066,50331648,,,,,,,,False,,,,335.54,96.3,,,,431.85
cost_model_sweep_20260807_020123.log:4745,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3_sep,,,,2048,4096,0,1,,32,,933.304,930.983,933.304,1.774,0.19,7,431.846,-53.7,53.9,88.486,2239.413,3261.203,50331648,,,,,,,,False,,,,335.54,96.3,,,,431.85
cost_model_sweep_20260807_020123.log:4843,cost_model_sweep_20260807_020123.log,b8805a0,20260807_020123,True,,add3_sep,,,,512,4096,0,0,,32,,260.581,251.445,260.581,5.886,2.25,7,107.961,-58.6,48.3,48.07,436.565,745.216,12582912,,,,,,,,False,,,,83.89,24.08,,,,107.96
